zip,city,longitude,latitude,pop,state
01827,Dunstable,-71.495201,42.673917,2166,MA
01830,Haverhill,-71.072057,42.785605,22445,MA
01832,Haverhill,-71.109519,42.779154,16860,MA
01833,Georgetown,-70.982239,42.728067,6384,MA
01834,Groveland,-71.027018,42.753027,5214,MA
01835,Bradford,-71.08549,42.758597,12078,MA
01840,Lawrence,-71.16381,42.707958,2728,MA
01841,Lawrence,-71.166997,42.711545,45555,MA
01843,Lawrence,-71.160506,42.691053,22285,MA
01844,Methuen,-71.181031,42.728019,39664,MA
01845,North Andover,-71.109004,42.682583,22792,MA
01850,Lowell,-71.305078,42.656035,15434,MA
01851,Lowell,-71.332882,42.631548,28154,MA
01852,Lowell,-71.298331,42.634413,33379,MA
01854,Lowell,-71.335464,42.649254,26472,MA
01860,Merrimac,-71.004658,42.834629,5196,MA
01862,North Billerica,-71.290217,42.575694,8720,MA
01863,North Chelmsford,-71.390834,42.634737,7878,MA
01864,North Reading,-71.094711,42.581898,12002,MA
01867,Reading,-71.109021,42.527986,22539,MA
01876,Tewksbury,-71.223224,42.60283,27269,MA
01879,Tyngsboro,-71.415766,42.672383,8643,MA
01880,Wakefield,-71.068471,42.500886,24830,MA
01886,Graniteville,-71.438143,42.589959,16430,MA
01887,Wilmington,-71.172306,42.558143,17647,MA
01890,Winchester,-71.14407,42.453028,20232,MA
01901,Lynn,-70.945516,42.463378,1187,MA
01902,Lynn,-70.941989,42.469814,41625,MA
01904,East Lynn,-70.962798,42.487453,17073,MA
01905,West Lynn,-70.973825,42.46453,21360,MA
01906,Saugus,-71.011093,42.463344,25487,MA
01907,Swampscott,-70.909774,42.474611,13650,MA
01908,Nahant,-70.927739,42.426098,3828,MA
01913,Amesbury,-70.936681,42.855879,14970,MA
01915,Beverly,-70.875939,42.560825,38259,MA
01921,Boxford,-71.011372,42.679719,6249,MA
01922,Byfield,-70.935053,42.756792,2006,MA
01923,Danvers,-70.942461,42.569402,23977,MA
01929,Essex,-70.782794,42.628629,3260,MA
01930,Gloucester,-70.672149,42.620836,28716,MA
01938,Ipswich,-70.849353,42.680877,11864,MA
01940,Lynnfield,-71.033873,42.532711,11274,MA
01944,Manchester,-70.767434,42.57963,5286,MA
01945,Marblehead,-70.865291,42.498431,19971,MA
01949,Middleton,-71.013004,42.594184,4921,MA
01950,Newburyport,-70.884668,42.812964,16317,MA
01951,Newbury,-70.847377,42.783475,3710,MA
01952,Salisbury,-70.858822,42.850678,6879,MA
01960,Peabody,-70.961194,42.532579,47685,MA
01966,Rockport,-70.619424,42.657973,7482,MA
01969,Rowley,-70.90696,42.713753,4368,MA
01970,Salem,-70.900343,42.515114,37642,MA
01982,South Hamilton,-70.856132,42.618478,7288,MA
01983,Topsfield,-70.948843,42.641546,5763,MA
01984,Wenham,-70.878622,42.60166,4148,MA
01985,West Newbury,-70.977811,42.794865,3421,MA
02019,Bellingham,-71.476829,42.074573,14873,MA
02021,Canton,-71.135536,42.164454,18530,MA
02025,Cohasset,-70.812788,42.239484,7075,MA
02026,Dedham,-71.163741,42.243685,23782,MA
02030,Dover,-71.285363,42.236233,4915,MA
